rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,266.4,1000.3,1022.14,19.0,17.9,23.0,0.0,ok,0.0,ok,-2.29,,False,59.9,40.2,5.9,21.9,20.6,82.6,43.3,18.5,22.3,0.415,0.483,AVGO,,126,17.9,23.0,,False
2,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,105.9,275.17,301.66,20.5,19.0,20.0,0.0,ok,0.0,ok,0.08,,False,59.5,30.3,2.5,24.1,38.0,43.9,45.5,10.9,41.4,0.343,0.482,NVDA,,126,19.0,20.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2169.0,418.2,425.71,24.0,14.2,21.0,-2.0,ok,0.0,ok,-0.8,,False,57.2,19.4,,36.0,64.2,40.0,57.9,16.7,13.7,0.584,0.663,NVDA,,126,14.2,21.0,fcf_yield_out_of_range(34.1),False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,2000.9,420.57,399.54,20.0,15.1,22.0,0.0,ok,-0.5,ok,1.08,,False,56.6,21.6,1.4,47.9,76.3,37.3,73.6,14.7,22.3,0.421,0.522,NVDA,,126,15.1,22.0,,True
5,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5304.2,218.99,208.04,20.0,15.8,20.0,-2.0,ok,0.0,ok,-0.24,,False,53.8,17.0,0.9,85.2,74.1,114.3,63.1,13.0,14.0,0.562,0.522,AVGO,,126,15.8,20.0,,True
6,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1502.8,589.9,600.62,18.0,18.3,17.0,0.0,ok,0.0,ok,0.2,,False,53.3,16.8,1.4,28.0,81.7,29.8,32.7,-6.6,-25.3,0.387,0.391,GOOG,,126,18.3,15.0,,False
7,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4361.4,356.62,355.34,19.0,14.2,20.0,0.0,ok,0.0,ok,-0.7,,False,53.2,24.2,0.5,24.2,60.9,48.7,54.4,8.8,-5.7,0.307,0.275,BMNR,,126,14.2,20.0,,True
8,TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power ,Growth,16.2,338.31,373.83,19.0,19.4,19.0,0.0,ok,-5.0,ok,8.86,,False,52.4,11.9,8.6,96.7,40.1,-1.9,38.3,-7.3,-9.2,0.37,0.389,AVGO,,126,19.4,19.0,,False
9,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,242.2,192.32,182.7,19.0,12.8,20.0,0.0,ok,0.0,ok,-2.92,,False,51.8,37.7,1.8,35.1,63.5,31.5,66.7,31.0,36.1,0.484,0.59,AVGO,,126,12.8,20.0,,False
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.6,207.36,258.65,15.5,17.6,18.0,0.0,ok,0.0,ok,-2.68,,False,51.1,30.5,,8.9,30.1,28.3,40.2,7.6,2.1,0.385,0.469,AVGO,,126,17.6,18.0,,False
