rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
26,ARES,Ares Management Corporation,Financial Services,Asset Management,Core,42.8,131.52,132.91,17.5,22.1,10.0,0.0,ok,0.0,financial_na,,,False,49.6,17.9,5.0,5.8,37.4,14.9,31.5,-0.5,18.1,0.391,0.392,GOOG,,123,22.1,14.0,,False
27,GS,"Goldman Sachs Group, Inc. (The",Financial Services,Capital Markets,Growth,284.4,988.45,1043.76,21.0,20.5,10.0,-2.0,ok,0.0,financial_na,,,False,49.5,13.2,,42.5,82.1,16.9,35.0,3.9,13.4,0.555,0.504,ETN,,123,20.5,16.0,,False
28,SYF,Synchrony Financial,Financial Services,Credit Services,Core,24.7,75.88,76.78,19.5,19.9,10.0,0.0,ok,0.0,financial_na,,,False,49.4,7.2,,0.6,0.0,20.8,37.2,1.3,6.5,0.323,0.315,GOOG,,123,19.9,16.0,,False
29,BRO,"Brown & Brown, Inc.",Financial Services,Insurance Brokers,Growth,22.5,68.33,70.23,21.5,17.9,10.0,0.0,ok,0.0,financial_na,,,False,49.4,13.9,7.3,32.4,56.3,10.0,36.4,-1.0,-12.6,-0.344,0.513,ETN,,123,17.9,15.0,,False
30,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,13.0,104.47,99.25,22.0,17.8,10.0,0.0,ok,-0.5,ok,1.91,,False,49.3,9.3,9.3,6.6,63.8,442.9,59.5,9.3,15.7,-0.185,0.496,ETN,,123,17.8,17.0,,False
31,BLK,"BlackRock, Inc.",Financial Services,Asset Management,Growth,172.0,1065.6,1100.84,20.5,18.7,10.0,0.0,ok,0.0,financial_na,,,False,49.2,16.5,4.4,30.6,47.2,12.3,24.1,0.7,2.4,0.424,0.434,GOOG,,123,18.7,15.0,,False
32,PTC,PTC Inc.,Technology,Software - Application,Core,14.4,136.65,137.8,21.0,18.2,10.0,0.0,ok,0.0,ok,0.98,,False,49.2,14.9,7.2,-6.8,84.5,35.1,32.5,-7.6,-25.3,0.014,0.452,MSFT,,123,18.2,17.0,,False
33,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,Core,46.4,54.03,55.76,20.0,19.1,10.0,0.0,ok,0.0,financial_na,,,False,49.1,9.3,9.5,4.8,40.5,24.5,32.5,6.3,7.4,0.151,0.298,MSFT,,123,19.1,17.0,,False
34,MCO,Moody's Corporation,Financial Services,Financial Data & Stock Exchang,Core,80.9,477.93,490.77,20.5,18.6,10.0,0.0,ok,0.0,financial_na,,,False,49.1,24.7,3.2,15.1,75.0,76.9,38.4,1.2,-1.5,0.019,0.383,MSFT,,123,18.6,16.0,,False
35,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,145.9,72.63,73.95,21.0,18.4,10.0,0.0,ok,-0.5,ok,1.25,,False,48.9,16.2,5.0,12.2,40.8,37.2,33.4,-4.5,-13.9,0.212,0.316,MSFT,,123,18.4,16.0,,False
36,MAS,Masco Corporation,Industrials,Building Products & Equipment,Core,13.6,69.41,75.17,20.0,19.2,10.0,0.0,ok,-0.5,ok,1.95,,False,48.7,14.8,6.6,-2.9,37.2,5862.5,36.7,-0.4,-0.1,0.328,0.331,ETN,,123,19.2,14.0,,False
37,AON,Aon plc,Financial Services,Insurance Brokers,Core,64.6,311.54,351.31,20.0,18.7,10.0,0.0,ok,0.0,financial_na,,,False,48.7,15.0,4.9,2.2,48.2,44.7,27.2,-7.3,-15.8,-0.301,0.465,ETN,,123,18.7,15.0,,False
38,CEG,Constellation Energy Corporati,Utilities,Utilities - Independent Power ,Compounder,92.1,264.57,269.12,12.5,17.7,21.0,0.0,ok,-2.5,ok,3.02,,False,48.7,19.5,-7.2,23.0,22.1,15.1,45.2,-10.2,-25.1,0.261,0.361,ETN,,123,17.7,21.0,,True
39,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.2,170.7,209.35,17.5,15.2,18.0,-2.0,ok,0.0,ok,-2.67,,False,48.7,24.5,3.0,8.9,30.1,28.3,26.8,-15.5,-11.1,0.612,0.759,ETN,,123,15.2,18.0,,False
40,TEL,TE Connectivity plc,Technology,Electronic Components,Core,58.4,203.37,205.95,20.0,18.6,10.0,0.0,ok,0.0,ok,0.92,,False,48.6,15.6,4.0,13.8,36.1,23.3,49.8,-5.7,-11.0,0.4,0.448,VRT,,123,18.6,13.0,,False
