rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1697.2,356.74,387.46,20.0,18.9,22.0,0.0,ok,-0.5,ok,1.08,,False,60.4,18.3,1.6,47.9,76.3,37.3,17.9,-3.3,-2.9,0.4,0.487,NVDA,,126,18.9,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,246.8,926.73,1035.48,20.0,16.3,23.0,0.0,ok,0.0,ok,-2.29,,False,59.3,36.9,6.4,21.9,20.6,82.6,33.0,6.3,-4.7,0.393,0.465,AVGO,,126,16.3,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2164.9,417.41,424.17,24.0,14.8,21.0,-2.0,ok,0.0,ok,-0.77,,False,57.8,19.2,,36.0,64.2,40.0,52.4,13.9,-2.3,0.6,0.666,NVDA,,126,14.8,21.0,fcf_yield_out_of_range(33.8),False
4,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4199.0,343.34,349.62,19.0,17.3,20.0,0.0,ok,0.0,ok,-0.7,,False,56.3,23.2,0.5,24.2,60.9,48.7,28.1,3.2,-0.8,0.339,0.302,BMNR,,126,17.3,20.0,,True
5,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,98.5,255.75,292.09,20.5,16.9,18.6,0.0,ok,0.0,ok,0.08,,False,56.0,28.1,2.7,24.1,38.0,43.9,36.3,0.8,-13.0,0.37,0.497,NVDA,,126,16.9,20.0,,False
6,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,128.4,556.52,549.18,18.0,16.5,22.0,0.0,ok,-0.5,ok,1.73,,False,56.0,17.0,4.3,10.5,11.8,89.2,42.4,0.8,-24.1,-0.112,0.166,AVGO,,126,16.5,22.0,,False
7,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,240.8,190.94,181.39,19.0,16.5,19.2,0.0,ok,0.0,ok,-2.88,,False,54.7,37.0,1.6,37.7,63.0,31.5,45.5,27.7,33.2,0.447,0.577,AVGO,,126,16.5,20.0,,False
8,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5160.3,213.05,207.81,20.0,16.4,20.0,-2.0,ok,0.0,ok,-0.24,,False,54.4,16.3,0.9,85.2,74.1,114.3,42.4,9.0,-1.6,0.526,0.487,AVGO,,126,16.4,20.0,,True
9,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,77.1,542.52,541.96,16.0,18.6,21.0,0.0,ok,-1.5,ok,2.03,,False,54.1,17.8,3.2,5.1,20.1,27.0,43.7,-10.0,-33.4,-0.063,0.244,AVGO,,126,18.6,21.0,,False
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.9,190.19,236.28,17.5,18.3,18.0,0.0,ok,0.0,ok,-2.67,,False,53.8,26.7,2.7,8.9,30.1,28.3,35.2,-3.9,-6.6,0.388,0.465,AVGO,,126,18.3,18.0,,False
