rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1761.9,370.34,385.29,20.0,19.8,22.0,0.0,ok,-0.5,ok,1.08,,False,61.3,18.9,1.5,47.9,76.3,37.3,26.2,0.3,5.5,0.401,0.493,NVDA,,126,19.8,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,239.3,898.53,1027.43,20.0,17.8,23.0,0.0,ok,0.0,ok,-2.29,,False,60.8,35.7,6.6,21.9,20.6,82.6,31.2,2.2,-6.0,0.397,0.462,AVGO,,126,17.8,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2154.0,415.32,422.5,24.0,16.1,21.0,-2.0,ok,0.0,ok,-0.77,,False,59.1,19.1,,36.0,64.2,40.0,45.8,12.5,5.5,0.608,0.664,NVDA,,126,16.1,21.0,fcf_yield_out_of_range(33.9),False
4,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4102.0,335.41,347.37,19.0,17.9,20.0,0.0,ok,0.0,ok,-0.7,,False,56.9,22.6,0.6,24.2,60.9,48.7,39.1,0.5,-2.2,0.336,0.294,BMNR,,126,17.9,20.0,,True
5,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,99.6,258.72,287.82,20.5,17.8,17.8,0.0,ok,0.0,ok,0.08,,False,56.1,28.4,2.7,24.1,38.0,43.9,37.0,1.3,-6.9,0.363,0.494,AVGO,,126,17.8,20.0,,False
6,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,129.5,561.23,552.12,18.0,16.4,22.0,0.0,ok,-0.5,ok,1.73,,False,55.9,17.2,4.3,10.5,11.8,89.2,35.1,1.3,-28.7,-0.101,0.162,AVGO,,126,16.4,22.0,,False
7,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5331.2,220.78,209.74,20.0,16.5,20.0,-2.0,ok,0.0,ok,-0.12,,False,54.5,14.3,0.8,105.9,74.7,117.2,52.5,12.7,9.9,0.506,0.493,AVGO,,126,16.5,20.0,,True
8,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,76.7,539.7,542.22,16.0,18.7,21.0,0.0,ok,-1.5,ok,2.03,,False,54.2,17.7,3.2,5.1,20.1,27.0,34.4,-10.5,-41.7,-0.051,0.244,AVGO,,126,18.7,21.0,,False
9,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.5,179.73,227.46,17.5,18.4,18.0,0.0,ok,0.0,ok,-2.67,,False,53.9,25.3,2.9,8.9,30.1,28.3,28.2,-9.7,-7.3,0.389,0.462,AVGO,,126,18.4,18.0,,False
10,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,246.8,195.69,185.91,19.0,16.3,18.4,0.0,ok,0.0,ok,-2.88,,False,53.7,37.9,1.6,37.7,63.0,31.5,48.5,29.8,44.3,0.442,0.563,AVGO,,126,16.3,20.0,,False
