date,R_t_v3_raw,R_t_v3
2005-03-28,0.8911709915710125,0.8939008492462919
2005-03-29,0.713677222722198,0.7156754571796754
2005-03-30,0.7777045147029438,0.7799666674584546
2005-03-31,0.8391534525991785,0.8416688957657597
2005-04-01,0.7129015475454156,0.7148965846964608
2005-04-04,0.7214028103508746,0.7234328894151625
2005-04-05,0.8185820306389378,0.8210126791108829
2005-04-06,0.8534019405338213,0.8559761154781949
2005-04-07,0.9633797860723733,0.9664072859180192
2005-04-08,0.9402682361101186,0.9432004709407644
2005-04-11,0.9403844434645817,0.9433171572979507
2005-04-12,0.8740412939900651,0.8767005436403674
2005-04-13,0.5183517720559491,0.5195448817157398
2005-04-14,0.39957146166139573,0.4002749629621662
2005-04-15,0.22554644618159336,0.2255326223467879
2005-04-18,0.1997040714861102,0.19958372627056567
2005-04-19,0.17537202578545402,0.17515138471340322
2005-04-20,0.17650274748735018,0.17628676721131123
2005-04-21,0.29031278995020693,0.2905659307595159
2005-04-22,0.2255483390661733,0.22553452303377305
2005-04-25,0.36319977298537626,0.36375335143489046
2005-04-26,0.4045240577561737,0.40524797348791175
2005-04-27,0.3221115334668933,0.32249574760460487
2005-04-28,0.33627347046920214,0.3367160596247363
2005-04-29,0.38212097596801187,0.3827525469662258
2005-05-02,0.28794412661965535,0.2881875038800858
2005-05-03,0.27898697707243253,0.27919343327013174
2005-05-04,0.2844455931101614,0.2846745495356498
2005-05-05,0.2540922141739236,0.2541960550141578
2005-05-06,0.38468290107344916,0.3853250322389386
2005-05-09,0.46229751383266626,0.4632595697656765
2005-05-10,0.3079198407043258,0.30824555717199326
2005-05-11,0.3059217674901964,0.30623924796871443
2005-05-12,0.18177009404058322,0.18157582558608906
2005-05-13,0.14375312232193482,0.14340214921600258
2005-05-16,0.08748924075488827,0.08690634986195375
2005-05-17,0.11575138247619286,0.11528498716055226
2005-05-18,0.11807265760879877,0.11761583050951266
2005-05-19,0.1325862775366537,0.13218927508012795
2005-05-20,0.14555983916056878,0.14521631327937976
2005-05-23,0.1121579354621557,0.11167672808136789
2005-05-24,0.11817940815998432,0.11772302108280303
2005-05-25,0.15364069886372292,0.15333048200863084
2005-05-26,0.1532275037247066,0.15291558369344585
2005-05-27,0.16319205204538606,0.16292120553999387
2005-05-31,0.08877531655614869,0.08819772682348677
2005-06-01,0.07458889487341201,0.07395282919791595
2005-06-02,0.09153028009234139,0.09096404622473517
2005-06-03,0.11950085348680421,0.11904991336186484
2005-06-06,0.1215187713665388,0.12107614902977873
2005-06-07,0.12449193215822009,0.12406156508810719
2005-06-08,0.10274073906306351,0.1022207143222249
2005-06-09,0.13243338439348284,0.13203575171667326
2005-06-10,0.19268932014930412,0.19254006036972504
2005-06-13,0.258276434605819,0.2583975226589342
2005-06-14,0.23303451249410395,0.23305155421140325
2005-06-15,0.25497024894109716,0.2550777090104788
2005-06-16,0.291802983440723,0.2920622667764077
2005-06-17,0.30140705451555977,0.30170592550228903
2005-06-20,0.32140914355073524,0.3217904624613414
2005-06-21,0.24678302421590062,0.24685673682621845
2005-06-22,0.22153980160113468,0.22150946251500767
2005-06-23,0.22114281520844556,0.22111083975804546
2005-06-24,0.2732557829537768,0.27343861536620095
2005-06-27,0.3042842414675708,0.3045949721200771
2005-06-28,0.4317232460303177,0.4325592758817558
2005-06-29,0.4167032089442854,0.4174773267188339
2005-06-30,0.42058521525860076,0.42137533452981946
2005-07-01,0.19809563265184535,0.19796865750668025
2005-07-05,0.13710614100718307,0.1367277692726133
2005-07-06,0.05745923395656207,0.056752560407217115
2005-07-07,0.045723607772830015,0.04496856037550634
2005-07-08,0.0845503367917186,0.08395533183760721
2005-07-11,0.10751515112253722,0.10701480634419375
2005-07-12,0.1329218368107554,0.13252621751803015
2005-07-13,0.19146066408917292,0.19130633983152165
2005-07-14,0.2186402854266153,0.21859799463442317
2005-07-15,0.2593985594159183,0.2595242728289527
2005-07-18,0.3735151487600106,0.3741112468341066
2005-07-19,0.28197299180759555,0.2821917562554554
2005-07-20,0.33231496898607615,0.3327412413344821
2005-07-21,0.22967064567516943,0.22967382164899902
2005-07-22,0.13865231099129283,0.1382803125162824
2005-07-25,0.08994753529608655,0.08937477740880176
2005-07-26,0.0935155887137117,0.09295753822004203
2005-07-27,0.11686932696593026,0.11640753977907192
2005-07-28,0.09904082880188587,0.09850555315805266
2005-07-29,0.11560452178592444,0.1151375211155636
2005-08-01,0.03504289836510769,0.03424382545051675
2005-08-02,0.05230434234022752,0.051576420504724566
2005-08-03,0.05632304914226081,0.05561169227814234
2005-08-04,0.03618410081742844,0.035389731900142565
2005-08-05,0.03938831357440955,0.03860715231203454
2005-08-08,0.02253980265890001,0.02168919241332336
2005-08-09,0.025988112056385147,0.025151715623686142
2005-08-10,0.031807466715856894,0.030995057463153602
2005-08-11,0.02832024699519898,0.0274934635426026
2005-08-12,0.017374634488755883,0.016502733597419453
2005-08-15,0.028783740328187903,0.02795886737918785
2005-08-16,0.012590189271928245,0.011698567061766734
2005-08-17,0.014773788486045002,0.013891166996831518
2005-08-18,0.016143994325854224,0.015267020778042144
2005-08-19,0.014097186510353856,0.013211776091039688
2005-08-22,0.016765027695024012,0.015890614025425468
2005-08-23,0.018584531874645125,0.01771761813877007
2005-08-24,0.011381621092468788,0.010485017205789142
2005-08-25,0.012064967493385256,0.011171180337095384
2005-08-26,0.020749160958528242,0.019891169749376065
2005-08-29,0.020175047193203413,0.019314689506832936
2005-08-30,0.012415811156538725,0.01152347016577594
2005-08-31,0.016253070554035298,0.015376546614688714
2005-09-01,0.12645317144855175,0.1260308885394197
2005-09-02,0.15229921046462058,0.15198346404043117
2005-09-06,0.32675295584125474,0.327156301762548
2005-09-07,0.544269475818337,0.5455694173626927
2005-09-08,0.5646456705482492,0.566029602067304
2005-09-09,0.7922384378071943,0.794560498894461
