date,R_t,n_indicators
2006-03-02,0.4621,20
2006-03-03,0.472,20
2006-03-06,0.5082,20
2006-03-07,0.5131,20
2006-03-08,0.4937,20
2006-03-09,0.516,20
2006-03-10,0.4911,20
2006-03-13,0.4813,20
2006-03-14,0.4721,20
2006-03-15,0.4539,20
2006-03-16,0.4195,20
2006-03-17,0.4156,20
2006-03-20,0.4221,20
2006-03-21,0.4389,20
2006-03-22,0.4286,20
2006-03-23,0.447,20
2006-03-24,0.4147,20
2006-03-27,0.4452,20
2006-03-28,0.4497,20
2006-03-29,0.4333,20
2006-03-30,0.4424,20
2006-03-31,0.455,20
2006-04-03,0.4592,20
2006-04-04,0.4349,20
2006-04-05,0.4361,20
2006-04-06,0.4414,20
2006-04-07,0.4767,20
2006-04-10,0.4769,20
2006-04-11,0.5055,20
2006-04-12,0.4953,20
2006-04-13,0.4765,20
2006-04-17,0.5067,20
2006-04-18,0.4699,20
2006-04-19,0.4435,20
2006-04-20,0.4185,20
2006-04-21,0.451,20
2006-04-24,0.4253,20
2006-04-25,0.4125,20
2006-04-26,0.4176,20
2006-04-27,0.4038,20
2006-04-28,0.4259,20
2006-05-01,0.3435,20
2006-05-02,0.3524,20
2006-05-03,0.3338,20
2006-05-04,0.3284,20
2006-05-05,0.3373,20
2006-05-08,0.3523,20
2006-05-09,0.3661,20
2006-05-10,0.3837,20
2006-05-11,0.4088,20
2006-05-12,0.445,20
2006-05-15,0.4508,20
2006-05-16,0.415,20
2006-05-17,0.467,20
2006-05-18,0.4666,20
2006-05-19,0.4816,20
2006-05-22,0.4989,20
2006-05-23,0.5123,20
2006-05-24,0.4977,20
2006-05-25,0.4867,20
2006-05-26,0.5213,20
2006-05-30,0.581,21
2006-05-31,0.5781,21
2006-06-01,0.6507,21
2006-06-02,0.6419,21
2006-06-05,0.6938,21
2006-06-06,0.6862,21
2006-06-07,0.6819,21
2006-06-08,0.6874,21
2006-06-09,0.7284,21
2006-06-12,0.7183,21
2006-06-13,0.7162,21
2006-06-14,0.7058,21
2006-06-15,0.6729,21
2006-06-16,0.6918,21
2006-06-19,0.6997,21
2006-06-20,0.6901,21
2006-06-21,0.6795,21
2006-06-22,0.687,21
2006-06-23,0.6915,21
2006-06-26,0.6772,21
2006-06-27,0.7112,21
2006-06-28,0.704,21
2006-06-29,0.6512,21
2006-06-30,0.6907,20
2006-07-03,0.6739,20
2006-07-05,0.6868,20
2006-07-06,0.6969,20
2006-07-07,0.6853,20
2006-07-10,0.6839,20
2006-07-11,0.6571,20
2006-07-12,0.6899,20
2006-07-13,0.7116,20
2006-07-14,0.7408,20
2006-07-17,0.7423,20
2006-07-18,0.708,20
2006-07-19,0.7029,20
2006-07-20,0.7257,20
2006-07-21,0.7231,20
2006-07-24,0.6884,20
2006-07-25,0.6921,20
2006-07-26,0.6826,20
2006-07-27,0.6944,20
2006-07-28,0.6231,20
2006-07-31,0.6321,20
2006-08-01,0.5964,20
2006-08-02,0.5996,20
2006-08-03,0.6015,20
2006-08-04,0.5852,20
2006-08-07,0.6,20
2006-08-08,0.5957,20
2006-08-09,0.6102,20
2006-08-10,0.5809,20
2006-08-11,0.5572,20
2006-08-14,0.5517,20
2006-08-15,0.5267,20
2006-08-16,0.451,20
2006-08-17,0.4308,20
2006-08-18,0.3742,20
2006-08-21,0.4115,20
2006-08-22,0.4191,20
2006-08-23,0.4142,20
2006-08-24,0.4094,20
2006-08-25,0.4086,20
2006-08-28,0.3998,20
2006-08-29,0.3792,20
2006-08-30,0.3744,20
2006-08-31,0.3929,20
2006-09-01,0.4243,20
2006-09-05,0.4313,20
2006-09-06,0.462,20
2006-09-07,0.4744,20
2006-09-08,0.4515,20
2006-09-11,0.4373,20
2006-09-12,0.4049,20
2006-09-13,0.427,20
2006-09-14,0.4365,20
2006-09-15,0.355,20
2006-09-18,0.3886,20
2006-09-19,0.4053,20
2006-09-20,0.4041,20
2006-09-21,0.4437,20
2006-09-22,0.4813,20
2006-09-25,0.4529,20
2006-09-26,0.4358,20
2006-09-27,0.456,20
2006-09-28,0.4614,20
2006-09-29,0.4541,20
2006-10-02,0.4659,20
2006-10-03,0.4695,20
2006-10-04,0.4474,20
2006-10-05,0.4596,20
2006-10-06,0.4304,20
2006-10-09,0.4242,21
2006-10-10,0.4065,21
2006-10-11,0.4223,21
2006-10-12,0.4146,21
2006-10-13,0.3663,21
2006-10-16,0.3819,21
2006-10-17,0.3796,21
2006-10-18,0.3921,21
2006-10-19,0.3702,21
2006-10-20,0.3714,21
2006-10-23,0.394,21
2006-10-24,0.4125,21
2006-10-25,0.4159,21
2006-10-26,0.4095,21
2006-10-27,0.4154,21
2006-10-30,0.4006,21
2006-10-31,0.4164,21
2006-11-01,0.3715,21
2006-11-02,0.3642,21
2006-11-03,0.3707,21
2006-11-06,0.3697,21
2006-11-07,0.3665,21
2006-11-08,0.3526,21
2006-11-09,0.3686,21
2006-11-10,0.3318,21
2006-11-13,0.3223,21
2006-11-14,0.3216,21
2006-11-15,0.3134,21
2006-11-16,0.3114,21
2006-11-17,0.2976,21
2006-11-20,0.2875,21
2006-11-21,0.2879,21
2006-11-22,0.2701,21
2006-11-24,0.3109,21
2006-11-27,0.3704,21
2006-11-28,0.3412,21
2006-11-29,0.2914,21
2006-11-30,0.3027,21
2006-12-01,0.4,21
2006-12-04,0.383,21
2006-12-05,0.3794,21
2006-12-06,0.3828,21
2006-12-07,0.4316,21
2006-12-08,0.3927,21
2006-12-11,0.3824,21
2006-12-12,0.3706,21
2006-12-13,0.3658,21
2006-12-14,0.3583,21
2006-12-15,0.3471,21
