ticker,shortName,sector,industry,marketCap,tech_score,fund_score,composite,composite_rank,tech_rank,fund_rank,ma200_dist,rsi,rel_str_6m,ma200_rank,rsi_rank,rs6m_rank,forwardPE,revenueGrowth,grossMargins,returnOnEquity,operatingMargins,freeCashflow,nd_ebitda,forwardPE_rank,revenueGrowth_rank,grossMargins_rank,returnOnEquity_rank,operatingMargins_rank,nd_ebitda_rank
FSLR,"First Solar, Inc.",Technology,Solar,24177006592.0,19.46207356584715,18.686251120002662,38.148324685849815,1,1,29,-0.12854033514356655,17.82945190172363,-0.10670140810354956,0.8939393939393939,0.9754716981132076,0.4660377358490566,9.51328,0.236,0.41743,0.18436001,0.33067,1147664768.0,-0.6425055314304132,0.8656716417910448,0.8555347091932458,0.4523364485981308,0.5972222222222222,0.8121495327102803,0.9017857142857143
AVGO,Broadcom Inc.,Technology,Semiconductors,1949026222080.0,19.187095006670475,18.610202003859968,37.79729701053044,2,2,32,0.003456725100857483,26.231565606428035,0.047124007394890643,0.6496212121212122,0.8943396226415095,0.7584905660377359,22.552814,0.295,0.76725996,0.33370999,0.44943002,25503750144.0,1.0759196582890276,0.292910447761194,0.8893058161350844,0.9018691588785047,0.7956349206349206,0.9327102803738317,0.6540178571428572
BKNG,Booking Holdings Inc. Common St,Consumer Cyclical,Travel Services,120416108544.0,16.113136077758718,19.30793640900477,35.42107248676349,3,56,20,0.07188425254141051,35.302913424013695,0.07660035982609137,0.3977272727272727,0.739622641509434,0.7962264150943397,12.629987,0.162,0.86987,,0.25035998,7075125248.0,0.35628553404507546,0.6902985074626866,0.7382739212007504,0.9607476635514018,,0.688785046728972,0.7834821428571428
RL,Ralph Lauren Corporation,Consumer Cyclical,Apparel Manufacturing,19616647168.0,18.16937059271965,16.698450325067927,34.867820917787576,4,8,79,-0.050672071513116146,6.4151245618663495,-0.13463677012478104,0.7859848484848485,0.9981132075471698,0.39622641509433965,17.920553,0.122,0.69649005,0.33846,0.20091,571950016.0,0.6667712176751193,0.45149253731343286,0.6463414634146342,0.8280373831775701,0.8015873015873016,0.5457943925233645,0.734375
GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,4680801845248.0,16.105214884696014,18.17921513503736,34.28443001973338,5,57,35,0.005350267833454714,39.06026358224475,-0.021314107466438914,0.6458333333333333,0.6509433962264151,0.6358490566037736,26.734526,0.218,0.60368,0.38884997,0.36121,27921750016.0,-0.7027037421946938,0.18843283582089554,0.8320825515947468,0.7336448598130841,0.8482142857142857,0.8532710280373832,0.9073660714285714
TPR,"Tapestry, Inc.",Consumer Cyclical,Luxury Goods,26655758336.0,16.143748808843146,18.12029820796819,34.26404701681133,6,52,39,-0.10441086625043272,15.810783104952293,-0.32595588193608493,0.8712121212121212,0.9792452830188679,0.08679245283018867,17.20924,0.212,0.76177,0.60914004,0.22415,1529737472.0,1.385767260516653,0.4776119402985075,0.8198874296435272,0.897196261682243,0.9246031746031746,0.6224299065420561,0.6071428571428572
NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,74850099200.0,17.117162187916904,16.91170799643517,34.02887018435207,7,15,74,-0.07383116527123101,33.07381371521949,-0.11225539863288891,0.8257575757575757,0.7754716981132075,0.4528301886792453,16.817444,0.122,0.55632,0.25812998,0.47375,3119000064.0,1.529992004799141,0.5037313432835822,0.6463414634146342,0.6654205607476635,0.7182539682539683,0.9514018691588785,0.5736607142857143
META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,1528815943680.0,13.768522489041354,20.251345516646214,34.01986800568757,8,207,10,-0.0800773309334255,40.311164167186696,-0.24043191241032558,0.8390151515151515,0.620754716981132,0.19245283018867926,16.654716,0.331,0.81941,0.32930002,0.40617,25558249472.0,0.20115818318464143,0.5093283582089552,0.9043151969981238,0.9383177570093458,0.7896825396825397,0.908411214953271,0.8102678571428572
LLY,Eli Lilly and Company,Healthcare,Drug Manufacturers - General,905926737920.0,14.19340813798361,19.78884716797069,33.9822553059543,9,174,14,0.09231879713783941,39.990374231112355,0.02135804641941519,0.35037878787878785,0.6320754716981132,0.720754716981132,22.862606,0.555,0.82832,1.07459,0.49386,9156599808.0,1.1019253075879267,0.27611940298507465,0.9512195121951219,0.9439252336448598,0.9722222222222222,0.9607476635514018,0.6450892857142857
AXP,American Express Company,Financial Services,Credit Services,211241451520.0,17.12937154564513,16.653118529791552,33.782490075436684,10,14,81,-0.020497663500227192,35.74489798421618,-0.039545166188759806,0.7140151515151515,0.730188679245283,0.6113207547169811,15.395387,0.116,0.62759,0.34419,0.21245001,,,0.5578358208955223,0.6116322701688556,0.7588785046728972,0.8134920634920635,0.5887850467289719,
APP,Applovin Corporation,Communication Services,Advertising Agencies,160501825536.0,12.672598627787307,21.055486336527316,33.728084964314625,11,262,7,-0.3643196832304715,45.87488105226246,-0.39618241286996014,0.9886363636363636,0.4811320754716981,0.0509433962264151,21.789774,0.59,0.88367,2.66444,0.78151,3180097280.0,0.08527680818094725,0.31902985074626866,0.9549718574108818,0.9682242990654205,0.9900793650793651,0.9906542056074766,0.8303571428571428
MPWR,"Monolithic Power Systems, Inc.",Technology,Semiconductors,72450293760.0,16.858085572708216,16.223858833168155,33.08194440587637,12,24,102,0.019594333166380595,32.99321189141375,-0.00512229697052935,0.5871212121212122,0.7773584905660378,0.6584905660377358,48.89658,0.261,0.55175,0.19574,0.29986998,491719136.0,-1.3944338159748362,0.042910447761194015,0.8696060037523452,0.6542056074766355,0.6190476190476191,0.7682242990654206,0.9397321428571429
KLAC,KLA Corporation,Technology,Semiconductor Equipment & Materials,228613177344.0,15.864720316371262,17.213241508167695,33.07796182453896,13,68,65,-0.8498365055393321,25.670925697484662,-1.0024592270181505,0.9981060606060606,0.9037735849056604,0.0018867924528301887,35.136585,0.115,0.61446,0.94975996,0.41215,2890187008.0,0.2063343570642209,0.10074626865671643,0.6060037523452158,0.7420560747663552,0.9603174603174603,0.914018691588785,0.8080357142857143
GOOGL,Alphabet Inc.,Communication Services,Internet Content & Information,4723811287040.0,14.861885363064609,18.163667871355766,33.02555323442037,14,141,36,0.013875160539390308,44.173877883054836,-0.009023489111836591,0.6079545454545454,0.5264150943396226,0.6490566037735849,26.980177,0.218,0.60368,0.38884997,0.36121,27921750016.0,-0.7027037421946938,0.18470149253731338,0.8320825515947468,0.7336448598130841,0.8482142857142857,0.8532710280373832,0.9073660714285714
TXN,Texas Instruments Incorporated,Technology,Semiconductors,276317831168.0,16.12617924528302,16.542156825371084,32.66833607065411,15,55,88,0.10287745104677759,32.779953419721394,0.13290412554867626,0.3125,0.7792452830188679,0.8433962264150944,32.250748,0.186,0.57322,0.32347,0.37824002,1068249984.0,0.7406512403361345,0.125,0.7776735459662288,0.6878504672897197,0.7857142857142857,0.8728971962616823,0.7209821428571428
RCL,Royal Caribbean Cruises Ltd.,Consumer Cyclical,Travel Services,66874417152.0,16.86505384028969,15.767079300743575,32.632133141033265,16,23,110,-0.0633064937878024,15.55158507940314,-0.21885080072478824,0.8087121212121212,0.9811320754716981,0.2339622641509434,12.46173,0.113,0.50914,0.49576,0.26168,-194875008.0,3.269130621650488,0.7052238805970149,0.5966228893058161,0.5925233644859813,0.9007936507936508,0.7121495327102804,0.2767857142857143
