date,tier,R_t,cash_pct,n_holdings,turnover,holdings
2013-06-03,1_cap_pres,0.335,0.501,12,0.667,"LLY,INCY,RMD,AMGN,IDXX,ICE,PFE,MO,KO,VRSK,V,WTW"
2013-07-01,1_cap_pres,0.47,0.603,12,0.667,"LLY,BMY,MRK,AMP,BLK,MO,RMD,MCO,PM,GILD,CSX,PFE"
2013-08-01,1_cap_pres,0.299,0.474,12,0.667,"V,MO,BMY,CME,BRO,KO,NDAQ,LLY,MRK,AJG,DXCM,PODD"
2013-09-03,1_cap_pres,0.538,0.653,12,0.417,"MNST,LLY,KO,BRO,MRK,MO,MCO,AFL,FDS,BMY,JNJ,V"
2013-10-01,1_cap_pres,0.253,0.439,12,0.333,"LLY,MNST,VRTX,FDS,MO,GILD,KO,AMP,JNJ,BRO,V,BSX"
2013-11-01,1_cap_pres,0.215,0.411,12,0.583,"BRO,MRK,CME,FDS,RMD,EW,LLY,ICE,UNP,V,INCY,BSX"
2013-12-02,1_cap_pres,0.16,0.37,12,0.75,"IDXX,LLY,MO,RMD,AMGN,PM,DLTR,BRO,ISRG,PEP,MA,ES"
2014-01-02,1_cap_pres,0.21,0.407,12,0.667,"LLY,RMD,ABBV,MSCI,AMGN,PFE,JNJ,FDS,BRO,REGN,PODD,AFL"
2014-02-03,1_cap_pres,0.685,0.764,12,0.75,"MO,BMY,ZTS,AMP,MA,ICE,KO,RMD,CL,ABBV,JNJ,PM"
2014-03-03,1_cap_pres,0.481,0.61,12,0.583,"V,MA,ICE,AMP,INCY,CME,ZTS,MCO,ABBV,SPGI,NDAQ,BLK"
2014-04-01,1_cap_pres,0.272,0.454,12,0.417,"V,NDAQ,ICE,MA,BMY,GILD,INCY,ZTS,CME,MNST,LLY,IDXX"
2014-05-01,1_cap_pres,0.333,0.5,12,0.583,"DXCM,LLY,INCY,MSCI,V,AMGN,PODD,MA,ISRG,MNST,BSX,MCO"
2014-06-02,1_cap_pres,0.332,0.499,12,0.667,"INCY,LLY,BMY,V,IDXX,RMD,EW,AFL,BSX,ZTS,KO,ICE"
2014-07-01,1_cap_pres,0.211,0.409,12,0.583,"MA,RMD,V,REGN,ICE,UAL,AFL,PM,BRO,TDG,ZTS,MO"
2014-08-01,1_cap_pres,0.728,0.796,12,0.75,"MO,LLY,KO,CL,JNJ,AFL,ABBV,AON,PM,MKC,BF-B,IDXX"
