date,1_cap_pres,2_balanced,3_aggressive,4_tactical,spy,qqq,sso,60_40
2010-01-04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
2010-01-05,0.9980452855235207,1.0008048969137908,1.001145847915586,1.0038318481331021,1.002646829153917,1.0,1.0039702437308755,1.0041715414964156
2010-01-06,0.9977870023040745,0.9973038694324434,0.9949498440739432,0.9967310987060881,1.0033527582293686,0.9939685591357005,1.0050305349999396,0.9992060760004982
2010-01-07,0.9992856660769505,0.998978472132671,0.9874972448642872,0.9806977332550962,1.007588242708961,0.9946143656491908,1.0113943853969138,1.0024150537696488
2010-01-08,0.9985401426872054,1.0021125483829227,0.9974627622801713,0.986367980297548,1.0109416307501482,1.0028007987512197,1.0164434684843593,1.0042489584958676
2010-01-11,0.9979638156993436,1.0048763388993345,1.00549491235594,0.9806426871913868,1.0123533089548173,0.9987072508231642,1.0185725099350607,1.002913821184973
2010-01-12,0.9959835962291493,0.9946297163964242,0.988214990969524,0.9617687621440081,1.0029120699026337,0.9862129161870773,1.0043236506585378,1.0040184638658234
2010-01-13,1.0025202905931234,0.9999005834871251,0.9929761185393171,0.9645651662774535,1.0113824990231168,0.9984918557464614,1.0170471773049274,1.0044245108995038
2010-01-14,1.0050289420355019,1.0001125760973908,0.9905461410039216,0.9606537157644727,1.0141177717509786,0.9993540041282005,1.0211730664859018,1.0116327437281014
2010-01-15,1.00006910014079,0.9888179944356423,0.9735526830786994,0.9442132722557998,1.0027351827547446,0.9877208710823068,1.0039803986810125,1.007297638491681
2010-01-19,1.0089289807062483,0.9991162514126903,0.9895758109605083,0.9552856078949059,1.0152651989112174,1.0036627577746497,1.0227987629400015,1.0136576109258535
2010-01-20,1.0088915177081739,0.9979261344029113,0.9799680336796103,0.9495340192848672,1.0049409636894593,0.9892287312983816,1.0071974968504516,1.0115605617101577
2010-01-21,0.9972233425165327,0.9861789283002091,0.9701990966483331,0.9448301076109171,0.9856169875003048,0.9799658908877658,0.9781464463656666,1.0018368620633522
2010-01-22,0.9862829506113457,0.9659650901186104,0.9434720508471541,0.9131072800892392,0.9636457322916486,0.9513138957660144,0.9454393621578668,0.98794132371818
2010-01-25,0.9859144451922046,0.9622118077875795,0.9382848323854387,0.9127135289590752,0.9685869659004586,0.9545459580664131,0.9527111788559134,0.9890356233601829
2010-01-26,0.9822648736497637,0.9551241770522703,0.9298770769955279,0.903692639418085,0.9645281886225214,0.9554071596566063,0.9467228020431268,0.9867339871705414
2010-01-27,0.9924061479966884,0.9652964664723109,0.9332675492410263,0.9123885002459688,0.9691166376398396,0.9629469341327537,0.9534784200156474,0.9892641850176618
2010-01-28,0.9916179132462707,0.9609525218551489,0.9184674344908024,0.8964506172634953,0.9579986595805039,0.9381729971832005,0.9370705619590557,0.9823709904229979
2010-01-29,0.9895102599231294,0.9543801704023998,0.9011475165458744,0.8797273756515895,0.9475867005697368,0.9218008884123792,0.9217938073669565,0.979686840790615
2010-02-01,0.993427129258086,0.9697789794703369,0.9323927305986084,0.9057492169827075,0.96232231771469,0.9319256878464252,0.9432955875583332,0.9847956785067657
2010-02-02,1.0000922981615927,0.9767513802441544,0.9369213712727766,0.9078302636055188,0.973969517647822,0.9403277053834662,0.9604209603706739,0.9930710227879567
2010-02-03,0.9950002410649836,0.9749948770391061,0.941958140753041,0.9161296605587135,0.9691166376398396,0.9454974712617995,0.9532429004929588,0.985510239180847
2010-02-04,0.9786164522717529,0.9556441902045184,0.9125553141996277,0.8895993627630969,0.9392038152920289,0.9181388880709662,0.9091086068032949,0.9733237036145246
2010-02-05,0.9778622252104353,0.9581959324314582,0.9195731369749205,0.8982795272916231,0.941145255209196,0.925894152302971,0.9119274514079763,0.9753801781016154
2010-02-08,0.97913583832324,0.9580542574897354,0.9200305996091624,0.8989724381814552,0.9343509352840464,0.9192163368502536,0.9020523654649225,0.9717268493653637
2010-02-09,0.9835823129233635,0.9650642323470451,0.9266240928260342,0.8982175331720842,0.946086578791123,0.9286947616958816,0.9190473155196254,0.9749567922121257
2010-02-10,0.9844662178652539,0.9673658204778428,0.929114001298748,0.903003222868626,0.9442338523672512,0.9267560166472464,0.9163476525853504,0.9700592306148786
2010-02-11,0.9912996624352207,0.9814627401530458,0.9459047749501552,0.9182999513761334,0.9541161396386374,0.9407587795743357,0.9307333008873139,0.9740093177797924
2010-02-12,0.9901187432759724,0.9832037358803858,0.9483810209831391,0.920620741829435,0.953322126881709,0.9426972405855073,0.9295714704504828,0.9751213386880481
2010-02-16,0.9944275428221199,0.9914141417232767,0.962822200742472,0.9313676403965481,0.9683227148560282,0.9547611637848068,0.9515117751403371,0.9850662874626526
2010-02-17,0.9963247880597402,0.9938001391209883,0.9653099683590554,0.9326342973054487,0.9729108939539954,0.960146798135616,0.9582745615097826,0.9834320300494168
2010-02-18,0.9985635600241096,0.9921564881370258,0.9532901400066033,0.9144008583581771,0.9786463202659678,0.9661786177165338,0.9667482765771103,0.9853981500900413
2010-02-19,0.9989246139982446,0.9923397604287101,0.9512357950537557,0.911275946415475,0.9806757538914948,0.965747354167355,0.9697554172865945,0.9887183700733964
2010-02-22,1.0012451558719073,0.9949434781376172,0.95155768287952,0.9130263516283157,0.9808521012006822,0.9638085144395652,0.9700169926713175,0.9872274908905811
2010-02-23,0.9961973912888786,0.9857589470283162,0.9382075621401857,0.9009855501211267,0.9689402003575351,0.9513138957660144,0.9523465209171295,0.9859204486392427
2010-02-24,0.9994224511523127,0.9908621664667014,0.9432730621133864,0.9053778205165283,0.9778523075090394,0.9610080944049637,0.9654857439104226,0.9923436531684011
2010-02-25,0.9982168972155214,0.9877762924365514,0.9392551941038159,0.8996220675205044,0.9765288029589639,0.9607930780448792,0.9635255939491975,0.993735101384233
2010-02-26,1.0004573923308988,0.9909943918498135,0.9407099864946316,0.8960894971271742,0.9771462884604709,0.9642397779887439,0.9644394887817794,0.9961455542279758
2010-03-01,1.005799347294846,1.001366556453628,0.9599182249446061,0.9117776557026008,0.9872935465612229,0.9782420675200604,0.9794624436823884,1.0022022503549073
2010-03-02,1.0058940667610328,1.0022844926938237,0.9637313338597794,0.9164888033323151,0.9900289092622016,0.9812582613479831,0.9835329428436407,1.0033421038706973
2010-03-03,1.0074407695547507,1.006733077680928,0.9679881581361911,0.9150477658901592,0.9909117254855422,0.982335615448116,0.9848484784254947,1.002870092267957
2010-03-04,1.009844732130253,1.0104797986233447,0.9726926989968547,0.9209372852029118,0.9939111592847173,0.9855668256361232,0.989320099464909,1.0068036279379848
2010-03-05,1.0169703816388846,1.0221816527222463,0.990393920584997,0.9360970457514274,1.0081174645827573,1.0004308848325605,1.0105311250769977,1.0101896568824724
2010-03-08,1.0181862432935331,1.0201403093915518,0.9839530803221919,0.9303941294362867,1.0082945316768803,1.0023694405228865,1.0107973616259978,1.008234678725456
2010-03-09,1.017454740643231,1.0210178135304615,0.9917921337062948,0.9410340898832895,1.0099707308453307,1.0079706593087077,1.0133179014739304,1.009343258609451
2010-03-10,1.019905247566797,1.0258984940114988,1.0000143432359967,0.9512444608996147,1.014471186154289,1.0161571870898913,1.0200909570537695,1.011074714345203
2010-03-11,1.0224822361767592,1.0266471796279586,0.996494778642482,0.9464090939318279,1.0187060408220627,1.0200349612246256,1.0264784281963597,1.0151021436561396
2010-03-12,1.0228380769785492,1.0292682760287843,1.0034162361377446,0.9466534951786496,1.0187942144766564,1.0202499775847103,1.0266116977816209,1.017613720653129
2010-03-15,1.0240790084807696,1.0259125677448881,0.9930383059120023,0.935654644926473,1.0190591853060225,1.0176650473059663,1.0270122038148304,1.0172485825640547
2010-03-16,1.0242204802499735,1.030620735982606,1.0051363011921617,0.9481250418980129,1.0271770097812474,1.024127183644517,1.0392839711341828,1.025352996949394
2010-03-17,1.026418600606842,1.0352642436274218,1.0114922074196118,0.9546480872151055,1.0332659404696471,1.0269277930374274,1.0485250191797602,1.030773064628706
2010-03-18,1.0248051267164389,1.03036826367159,1.0032366163037416,0.9433731822271325,1.0327360887840322,1.0303754397728382,1.04771850452502,1.029133355353841
2010-03-19,1.0237265273777898,1.026462839431155,0.9938169624925128,0.9357409759851443,1.0275086506902602,1.0241427110258705,1.0397635918204307,1.0263447682481592
2010-03-22,1.0264481048467713,1.031238599813586,1.00213193982643,0.9395493529139147,1.0330020493176844,1.033415871464337,1.0481019681703256,1.030129507516921
2010-03-23,1.029119726183298,1.0353369393615235,1.0057976444203631,0.9412722159248096,1.040267468483092,1.0405323354402918,1.0591594004356475,1.0326672706379993
2010-03-24,1.0248123389454913,1.0291907207387028,0.9958106285051018,0.9352831241622892,1.035216827564092,1.035572662606004,1.0514458546846916,1.0223055510760648
2010-03-25,1.0257533398472747,1.0316950921343504,0.997897336853653,0.9394384529963064,1.0335337904387547,1.034062246052755,1.0488817217007638,1.018778836024842
2010-03-26,1.0248233338522774,1.032073320790451,0.9981952286129956,0.9393306352752131,1.0329135157706228,1.0351410203402067,1.0479374931213168,1.019498371304336
2010-03-29,1.026549745863695,1.0360703763745316,1.0066900915456463,0.943320191006202,1.03947003674772,1.0401013559285768,1.0579153238662418,1.0219995306873468
2010-03-30,1.0285353104639157,1.0375407686473377,1.010872753091331,0.9471050594465803,1.0401790249091474,1.0435517483594705,1.058997677489575,1.0236600572283452
2010-03-31,1.0290428907815914,1.0349745294704111,1.0053663691580668,0.9430504423698138,1.0366347139138297,1.0385916968085644,1.0535850268460911,1.02417861574442
2010-04-01,1.0321464855642741,1.0382307421196617,1.004399875405241,0.9406376429317831,1.0437228860388805,1.0385916968085644,1.06439113615117,1.0275354451307042
2010-04-05,1.0337116776176938,1.041558896606931,1.0123608938513273,0.9471503741114373,1.0522282247287333,1.0482958367587463,1.077401783755824,1.0257208378216038
2010-04-06,1.0339379304490663,1.0399804206454277,1.007149968248163,0.9369439911686293,1.054709413374378,1.0513152496779252,1.0812126068403427,1.027833644277994
