rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1752.9,368.45,388.5,20.0,19.4,22.0,0.0,ok,-0.5,ok,1.08,,False,60.9,18.9,1.6,47.9,76.3,37.3,39.2,-0.1,-0.5,0.404,0.483,NVDA,,126,19.4,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,254.8,956.85,1035.05,20.0,17.2,23.0,0.0,ok,0.0,ok,-2.29,,False,60.2,38.1,6.2,21.9,20.6,82.6,40.1,10.3,2.9,0.389,0.45,AVGO,,126,17.2,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2172.9,418.95,424.52,24.0,13.9,21.0,-2.0,ok,0.0,ok,-0.77,,False,56.9,19.2,,36.0,64.2,40.0,59.4,14.7,1.6,0.595,0.66,NVDA,,126,13.9,21.0,fcf_yield_out_of_range(33.6),False
4,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,100.8,261.95,293.89,20.5,16.9,19.0,0.0,ok,0.0,ok,0.08,,False,56.4,28.8,2.7,24.1,38.0,43.9,49.4,3.5,-5.5,0.367,0.496,NVDA,,126,16.9,20.0,,False
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4179.6,341.75,350.16,19.0,17.1,20.0,0.0,ok,0.0,ok,-0.7,,False,56.1,23.1,0.5,24.2,60.9,48.7,20.6,3.0,-2.5,0.343,0.304,BMNR,,126,17.1,20.0,,True
6,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,130.1,563.57,548.55,18.0,16.4,22.0,0.0,ok,-0.5,ok,1.73,,False,55.9,17.2,4.3,10.5,11.8,89.2,42.2,2.3,-26.5,-0.112,0.169,AVGO,,126,16.4,22.0,,False
7,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,237.9,188.65,179.22,19.0,16.7,19.7,0.0,ok,0.0,ok,-2.88,,False,55.4,36.6,1.6,37.7,63.0,31.5,52.3,26.6,35.8,0.452,0.577,AVGO,,126,16.7,20.0,,False
8,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.2,197.67,240.4,17.5,18.6,18.0,0.0,ok,0.0,ok,-2.67,,False,54.1,27.8,2.6,8.9,30.1,28.3,32.4,0.2,-3.3,0.388,0.458,AVGO,,126,18.6,18.0,,False
9,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1400.9,549.9,592.99,18.0,19.0,17.0,0.0,ok,0.0,ok,0.2,,False,54.0,15.8,1.5,28.0,81.7,29.8,31.3,-11.8,-25.9,0.407,0.372,GOOG,,126,19.0,15.0,,False
10,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,78.3,551.03,542.18,16.0,17.5,21.0,0.0,ok,-1.5,ok,2.03,,False,53.0,18.1,3.2,5.1,20.1,27.0,51.1,-8.7,-36.3,-0.065,0.248,AVGO,,126,17.5,21.0,,False
11,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Core,3588.3,483.24,459.08,18.0,17.5,17.2,0.0,ok,0.0,ok,0.27,,False,52.7,20.5,0.5,17.7,67.9,34.0,47.0,12.2,13.5,0.31,0.317,BMNR,,126,17.5,18.0,,True
12,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5200.7,214.72,207.58,20.0,14.0,20.0,-2.0,ok,0.0,ok,-0.24,,False,52.0,16.5,0.9,85.2,74.1,114.3,59.5,10.0,-0.1,0.525,0.483,AVGO,,126,14.0,20.0,,True
13,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,282.9,209.91,203.36,15.5,14.8,21.0,0.0,ok,-0.5,ok,1.92,,False,50.8,26.7,3.5,14.5,20.3,12.3,40.3,9.7,-8.3,-0.041,0.138,AVGO,,126,14.8,21.0,,False
14,TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power ,Growth,15.1,314.46,367.23,17.5,19.1,19.0,0.0,ok,-5.0,ok,16.05,,False,50.6,10.2,8.4,111.2,42.1,-12.8,38.2,-13.1,-26.7,0.363,0.366,AVGO,,126,19.1,19.0,,False
15,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,331.4,79.59,75.61,23.0,17.3,10.0,0.0,ok,0.0,ok,0.51,,False,50.3,20.8,7.7,13.4,49.1,49.5,68.3,-10.0,-7.5,0.093,0.204,MSFT,,126,17.3,14.0,,False
16,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,25.8,168.29,177.46,22.0,17.8,10.0,0.0,ok,0.0,financial_na,,,False,49.8,18.6,11.6,31.6,31.1,21.5,21.7,1.2,-7.0,-0.159,0.301,AVGO,,126,17.8,14.0,,False
17,BX,Blackstone Inc.,Financial Services,Asset Management,Core,171.4,143.38,136.21,22.5,17.2,10.0,0.0,ok,0.0,financial_na,,,False,49.7,19.1,,28.6,100.0,31.4,60.2,10.6,15.0,0.329,0.343,BMNR,,126,17.2,16.0,,False
18,ADBE,Adobe Inc.,Technology,Software - Application,Core,109.4,275.3,261.53,23.0,16.6,10.0,0.0,ok,0.0,ok,0.15,,False,49.6,10.0,8.4,12.7,89.4,63.0,64.0,1.8,-0.6,0.166,0.4,MSFT,,126,16.6,17.0,,False
19,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,Core,2789.7,258.63,249.73,17.0,18.1,16.4,-2.0,ok,0.0,ok,0.76,,False,49.5,24.9,0.1,19.6,50.8,30.6,24.5,8.5,13.8,0.577,0.628,GOOG,,126,18.1,17.0,,False
20,AXP,American Express Company,Financial Services,Credit Services,Core,226.9,336.0,342.29,21.5,18.0,10.0,0.0,ok,0.0,financial_na,,,False,49.5,16.7,,12.8,62.3,34.4,40.3,-0.6,-7.3,0.389,0.383,BMNR,,126,18.0,18.0,,False
21,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,53.6,253.82,241.13,22.0,17.2,10.0,0.0,ok,0.0,ok,-0.09,,False,49.2,17.8,5.7,18.4,92.4,50.4,64.6,1.8,3.9,0.12,0.332,MSFT,,126,17.2,17.0,,False
22,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,Core,12.5,91.68,101.45,21.0,18.1,10.0,0.0,ok,0.0,ok,-0.85,,False,49.1,11.0,7.0,5.7,57.8,42.6,32.6,-10.4,-34.7,0.263,0.348,GOOG,,126,18.1,12.0,,False
23,GD,General Dynamics Corporation,Industrials,Aerospace & Defense,Core,104.0,384.29,374.06,14.5,14.5,19.9,0.0,ok,0.0,ok,0.78,,False,48.9,20.7,4.2,8.1,15.4,17.8,52.1,9.2,-1.6,-0.01,0.141,NVDA,,126,14.5,21.0,,False
24,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,56.9,225.56,266.38,22.0,17.4,10.0,0.0,ok,-0.5,ok,1.53,,False,48.9,12.5,6.3,19.5,56.1,27.9,51.2,-6.8,-14.2,0.233,0.386,AVGO,,126,17.4,14.0,,False
25,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,12.3,97.07,92.22,22.0,17.3,10.0,0.0,ok,-0.5,ok,1.91,,False,48.8,8.8,9.8,6.6,63.8,442.9,63.7,-0.7,-1.6,-0.051,0.158,AVGO,,126,17.3,17.0,,False
26,WDC,Western Digital Corporation,Technology,Computer Hardware,Growth,165.6,459.44,548.43,20.0,18.6,10.0,0.0,ok,0.0,ok,-0.08,,False,48.6,14.5,1.4,43.8,48.9,130.9,39.7,28.3,51.7,0.403,0.505,AVGO,,126,18.6,14.0,,False
27,EBAY,eBay Inc.,Consumer Cyclical,Internet Retail,Core,46.3,104.13,110.02,20.5,18.6,10.0,0.0,ok,-0.5,ok,1.24,,False,48.6,15.5,3.4,14.8,72.1,46.6,44.4,6.9,11.7,0.169,0.207,GOOG,,126,18.6,13.0,,False
28,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualt,Core,64.2,253.83,249.76,22.0,16.5,10.0,0.0,ok,0.0,financial_na,,,False,48.5,9.2,23.6,11.8,36.8,46.1,42.2,16.2,11.5,-0.273,0.349,NVDA,,126,16.5,14.0,,False
29,CEG,Constellation Energy Corporati,Utilities,Utilities - Independent Power ,Compounder,96.7,272.88,263.12,12.5,17.4,21.0,0.0,ok,-2.5,ok,3.02,,False,48.4,20.5,-6.9,23.0,22.1,15.1,49.3,-8.8,-19.1,0.205,0.236,BMNR,,126,17.4,21.0,,False
30,KEYS,Keysight Technologies Inc.,Technology,Scientific & Technical Instrum,Growth,53.8,316.13,332.87,20.5,17.9,10.0,0.0,ok,0.0,ok,0.08,,False,48.4,23.2,3.6,36.5,64.7,20.9,47.3,12.3,16.8,0.277,0.407,AVGO,,126,17.9,15.0,,False
31,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,Core,23.8,111.51,113.78,20.5,17.8,10.0,0.0,ok,0.0,financial_na,,,False,48.3,10.8,8.5,10.7,51.6,19.4,41.1,8.9,9.4,0.257,0.317,BMNR,,126,17.8,15.0,,False
32,ETN,"Eaton Corporation, PLC",Industrials,Specialty Industrial Machinery,Core,162.8,419.2,416.31,15.5,17.0,18.3,0.0,ok,-2.5,ok,3.11,,False,48.3,26.1,1.9,21.4,36.0,19.7,38.9,10.9,4.2,0.407,0.478,AVGO,,126,17.0,19.0,,False
33,QCOM,QUALCOMM Incorporated,Technology,Semiconductors,Core,168.8,160.75,178.53,20.0,18.0,10.0,0.0,ok,0.0,ok,0.58,,False,48.0,15.8,6.1,-4.0,54.2,33.8,60.3,-4.1,3.0,0.291,0.392,AVGO,,126,18.0,14.0,,False
34,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,Core,88.0,319.02,353.85,18.0,20.0,10.0,0.0,ok,0.0,ok,0.52,,False,48.0,33.5,1.8,24.2,85.9,23.2,30.8,-2.5,1.8,0.498,0.38,BMNR,,126,20.0,17.0,,False
35,APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,Growth,78.4,132.69,126.82,20.0,18.0,10.0,0.0,ok,0.0,financial_na,,,False,48.0,12.4,,63.8,36.1,11.4,53.6,4.2,4.4,0.331,0.29,GOOG,,126,18.0,14.0,,False
36,ULTA,"Ulta Beauty, Inc.",Consumer Cyclical,Specialty Retail,Core,22.4,521.46,495.39,21.0,17.1,10.0,0.0,ok,-0.5,ok,1.1,,False,47.6,16.4,4.3,11.1,43.2,47.4,46.1,-6.1,-34.4,0.162,0.196,MSFT,,126,17.1,12.0,,False
37,AMAT,"Applied Materials, Inc.",Technology,Semiconductor Equipment & Mate,Core,390.9,492.32,560.71,19.0,18.5,10.0,0.0,ok,0.0,ok,-0.26,,False,47.5,26.8,0.8,24.8,49.4,41.1,44.0,24.5,19.6,0.401,0.539,AVGO,,126,18.5,14.0,,False
38,UBER,"Uber Technologies, Inc.",Technology,Software - Application,Core,161.0,78.8,74.86,21.0,17.0,10.0,0.0,ok,-0.5,ok,1.25,,False,47.5,18.0,4.5,12.2,40.8,37.2,65.1,2.2,-0.8,0.294,0.33,MSFT,,126,17.0,16.0,,False
39,CSCO,"Cisco Systems, Inc.",Technology,Communication Equipment,Core,437.7,111.04,116.24,19.5,18.0,10.0,0.0,ok,0.0,ok,0.73,,False,47.5,20.0,2.6,17.6,64.6,27.3,42.5,19.9,31.4,0.229,0.354,AVGO,,126,18.0,15.0,,False
40,LVS,Las Vegas Sands Corp.,Consumer Cyclical,Resorts & Casinos,Core,30.5,47.03,46.8,21.0,18.0,10.0,0.0,ok,-1.5,ok,2.57,,False,47.5,13.3,7.3,-0.7,79.3,122.9,48.2,-14.3,-27.3,0.3,0.355,MSFT,,126,18.0,13.0,,False
