rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1754.5,368.79,386.11,20.0,19.5,22.0,0.0,ok,-0.5,ok,1.08,,False,61.0,18.9,1.6,47.9,76.3,37.3,23.5,-0.0,3.5,0.399,0.489,NVDA,,126,19.5,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,242.9,911.93,1031.65,20.0,17.3,23.0,0.0,ok,0.0,ok,-2.29,,False,60.3,36.3,6.5,21.9,20.6,82.6,37.2,4.0,-8.8,0.397,0.462,AVGO,,126,17.3,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2165.5,417.52,423.43,24.0,15.4,21.0,-2.0,ok,0.0,ok,-0.77,,False,58.4,19.2,,36.0,64.2,40.0,49.4,13.3,1.3,0.604,0.657,NVDA,,126,15.4,21.0,fcf_yield_out_of_range(33.7),False
4,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4193.4,342.88,348.01,19.0,17.9,20.0,0.0,ok,0.0,ok,-0.7,,False,56.9,23.1,0.5,24.2,60.9,48.7,33.8,2.8,-0.4,0.332,0.295,BMNR,,126,17.9,20.0,,True
5,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,130.1,563.85,551.12,18.0,16.4,22.0,0.0,ok,-0.5,ok,1.73,,False,55.9,17.2,4.3,10.5,11.8,89.2,34.3,1.9,-29.1,-0.091,0.162,AVGO,,126,16.4,22.0,,False
6,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,99.0,257.08,289.31,20.5,16.9,18.1,0.0,ok,0.0,ok,0.08,,False,55.5,28.3,2.7,24.1,38.0,43.9,43.4,0.8,-12.6,0.364,0.493,AVGO,,126,16.9,20.0,,False
7,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5253.2,217.55,208.42,20.0,16.3,20.0,-2.0,ok,0.0,ok,-0.12,,False,54.3,14.3,0.8,105.9,74.7,117.2,50.0,11.1,6.8,0.509,0.489,AVGO,,126,16.3,20.0,,True
8,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,77.5,545.57,541.85,16.0,18.6,21.0,0.0,ok,-1.5,ok,2.03,,False,54.1,17.9,3.2,5.1,20.1,27.0,35.5,-9.5,-41.4,-0.033,0.236,AVGO,,126,18.6,21.0,,False
9,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,246.4,195.38,185.61,19.0,16.3,18.8,0.0,ok,0.0,ok,-2.88,,False,54.1,37.9,1.6,37.7,63.0,31.5,52.5,29.9,38.7,0.436,0.562,AVGO,,126,16.3,20.0,,False
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.7,182.71,229.81,17.5,18.5,18.0,0.0,ok,0.0,ok,-2.67,,False,54.0,25.7,2.9,8.9,30.1,28.3,30.8,-8.1,-9.5,0.39,0.462,AVGO,,126,18.5,18.0,,False
11,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1472.5,578.02,592.14,18.0,18.5,17.0,0.0,ok,0.0,ok,0.2,,False,53.5,16.5,1.5,28.0,81.7,29.8,43.8,-7.1,-23.9,0.389,0.373,GOOG,,126,18.5,15.0,,False
12,BX,Blackstone Inc.,Financial Services,Asset Management,Core,170.2,142.39,135.27,22.5,18.3,10.0,0.0,ok,0.0,financial_na,,,False,50.8,19.0,,28.6,100.0,31.4,51.2,9.8,12.2,0.303,0.319,GOOG,,126,18.3,16.0,,False
13,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,56.4,223.58,258.29,22.0,18.8,10.0,0.0,ok,-0.5,ok,1.53,,False,50.3,12.4,6.3,19.5,56.1,27.9,36.5,-7.8,-12.4,0.232,0.389,AVGO,,126,18.8,14.0,,False
14,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,Core,46.3,53.66,53.82,20.0,20.3,10.0,0.0,ok,0.0,financial_na,,,False,50.3,9.3,9.6,4.8,40.5,24.5,33.0,4.8,5.6,0.229,0.286,MSFT,,126,20.3,17.0,,False
15,AXP,American Express Company,Financial Services,Credit Services,Core,225.0,333.2,342.61,21.5,18.7,10.0,0.0,ok,0.0,financial_na,,,False,50.2,16.6,,12.8,62.3,34.4,42.2,-1.2,-3.7,0.382,0.38,GOOG,,126,18.7,18.0,,False
16,DECK,Deckers Outdoor Corporation,Consumer Cyclical,Footwear & Accessories,Core,12.0,87.76,99.21,21.0,18.6,10.0,0.0,ok,0.0,ok,-0.85,,False,49.6,10.5,7.3,5.7,57.8,42.6,33.2,-14.4,-35.7,0.242,0.357,GOOG,,126,18.6,12.0,,False
17,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,285.3,211.71,205.85,15.5,13.5,21.0,0.0,ok,-0.5,ok,1.92,,False,49.5,26.9,3.5,14.5,20.3,12.3,29.9,10.2,-12.6,-0.023,0.134,AVGO,,126,13.5,21.0,,False
18,ORCL,Oracle Corporation,Technology,Software - Infrastructure,Core,434.5,150.85,143.31,17.5,18.5,19.0,-2.0,ok,-3.5,ok,4.44,,False,49.5,13.8,-5.6,20.6,65.8,53.4,49.8,-11.4,-11.0,0.625,0.526,MSFT,,126,18.5,19.0,,False
19,CINF,Cincinnati Financial Corporati,Financial Services,Insurance - Property & Casualt,Growth,26.4,171.97,177.65,22.0,17.3,10.0,0.0,ok,0.0,financial_na,,,False,49.3,19.0,11.3,31.6,31.1,21.5,42.5,3.2,-10.6,-0.184,0.316,AVGO,,126,17.3,14.0,,False
20,AMZN,"Amazon.com, Inc.",Consumer Cyclical,Internet Retail,Core,2873.8,266.43,253.11,17.0,18.4,15.8,-2.0,ok,0.0,ok,0.76,,False,49.2,25.6,0.1,19.6,50.8,30.6,38.7,11.6,15.5,0.552,0.628,GOOG,,126,18.4,17.0,,False
21,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,55.0,260.66,247.63,22.0,16.9,10.0,0.0,ok,0.0,ok,-0.2,,False,48.9,18.3,5.9,16.1,92.5,53.9,53.0,4.9,-6.8,0.165,0.335,MSFT,,126,16.9,17.0,,False
22,APP,Applovin Corporation,Communication Services,Advertising Agencies,Growth,106.3,317.76,408.39,22.5,16.3,10.0,0.0,ok,0.0,ok,0.09,,False,48.8,15.1,3.0,52.8,88.5,203.7,38.8,-35.5,-39.0,0.41,0.336,BMNR,,126,16.3,15.0,,False
23,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,340.3,81.72,77.63,23.0,15.8,10.0,0.0,ok,0.0,ok,0.51,,False,48.8,21.4,7.5,13.4,49.1,49.5,63.5,-6.8,-28.2,0.122,0.254,MSFT,,126,15.8,14.0,,False
