rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,108.5,281.81,299.15,20.5,19.9,20.0,0.0,ok,0.0,ok,0.08,,False,60.4,31.0,2.5,24.1,38.0,43.9,43.9,12.9,29.9,0.302,0.455,AVGO,,126,19.9,20.0,,False
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,269.5,1011.88,1022.07,19.0,16.3,23.0,0.0,ok,0.0,ok,-2.29,,False,58.3,40.6,5.8,21.9,20.6,82.6,53.9,19.0,16.7,0.388,0.46,AVGO,,126,16.3,23.0,,False
3,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2189.0,422.06,425.66,24.0,14.5,21.0,-2.0,ok,0.0,ok,-0.8,,False,57.5,19.4,,36.0,64.2,40.0,50.4,17.1,5.9,0.581,0.651,NVDA,,126,14.5,21.0,fcf_yield_out_of_range(33.8),False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1979.5,416.08,395.28,20.0,15.9,22.0,0.0,ok,-0.5,ok,1.08,,False,57.4,21.3,1.4,47.9,76.3,37.3,59.8,13.1,11.1,0.411,0.495,NVDA,,126,15.9,22.0,,True
5,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4194.9,343.0,353.44,19.0,16.4,20.0,0.0,ok,0.0,ok,-0.7,,False,55.4,23.3,0.5,24.2,60.9,48.7,50.4,4.2,-3.6,0.346,0.318,BMNR,,126,16.4,20.0,,True
6,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5268.1,217.5,206.62,20.0,15.9,20.0,-2.0,ok,0.0,ok,-0.24,,False,53.9,16.9,0.9,85.2,74.1,114.3,54.3,11.9,4.0,0.535,0.495,AVGO,,126,15.9,20.0,,True
7,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1526.3,599.12,598.28,18.0,17.6,17.0,0.0,ok,0.0,ok,0.2,,False,52.6,17.2,1.4,28.0,81.7,29.8,40.8,-4.8,-21.9,0.402,0.39,NVDA,,126,17.6,15.0,,False
8,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,7.6,208.38,253.8,17.5,17.1,18.0,0.0,ok,0.0,ok,-2.67,,False,52.6,30.7,2.5,8.9,30.1,28.3,35.9,7.4,-1.7,0.39,0.462,AVGO,,126,17.1,18.0,,False
9,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,249.5,197.85,187.96,19.0,12.5,20.0,0.0,ok,0.0,ok,-2.88,,False,51.5,38.3,1.6,37.7,63.0,31.5,64.8,34.1,26.6,0.454,0.564,AVGO,,126,12.5,20.0,,False
10,SNDK,Sandisk Corporation,Technology,Computer Hardware,Growth,185.6,1271.05,1671.54,24.0,17.3,10.0,0.0,ok,0.0,ok,-0.38,,False,51.3,4.8,4.2,371.6,71.5,91.6,38.5,43.9,123.3,0.371,0.442,AVGO,,126,17.3,15.0,,False
