rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,255.0,923.91,1005.87,20.0,17.8,23.0,-2.0,ok,0.0,ok,-2.29,,False,58.8,38.0,6.2,21.9,20.6,82.6,41.3,3.6,-4.4,0.591,0.687,ETN,,125,17.8,23.0,,False
2,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1728.0,360.83,383.23,20.0,17.5,22.0,-2.0,ok,0.0,ok,0.68,,False,57.5,18.7,1.8,85.5,75.5,44.2,47.7,-2.4,-7.8,0.549,0.58,TSM,,125,17.5,22.0,,True
3,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4102.5,330.39,345.63,19.0,17.6,20.0,0.0,ok,0.0,ok,-0.7,,False,56.6,22.6,0.6,24.2,60.9,48.7,42.1,-1.5,-6.5,0.328,0.284,TSM,,125,17.6,20.0,,True
4,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2247.0,428.03,419.15,24.0,15.5,21.0,-4.0,ok,0.0,ok,-0.77,,False,56.5,19.8,,36.0,64.2,40.0,57.7,14.4,12.3,0.713,0.654,ETN,,125,15.5,21.0,fcf_yield_out_of_range(32.5),True
5,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,121.0,530.12,556.36,18.0,16.6,22.0,0.0,ok,-0.5,ok,1.73,,False,56.1,16.0,4.6,10.5,11.8,89.2,28.7,-4.8,-34.2,-0.072,0.181,TSM,,125,16.6,22.0,,False
6,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,73.7,518.95,544.71,16.0,18.6,21.0,0.0,ok,-1.5,ok,2.03,,False,54.1,17.0,3.4,5.1,20.1,27.0,23.1,-13.7,-45.0,-0.071,0.244,TSM,,125,18.6,21.0,,False
7,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5271.0,218.36,212.17,20.0,15.8,19.7,-2.0,ok,0.0,ok,-0.12,,False,53.5,14.0,0.8,105.9,74.7,117.2,51.0,10.7,3.8,0.596,0.646,TSM,,125,15.8,20.0,,True
8,BX,Blackstone Inc.,Financial Services,Asset Management,Core,153.6,125.41,133.4,22.5,20.8,10.0,0.0,ok,0.0,financial_na,,,False,53.3,17.2,,28.6,100.0,31.4,18.3,-3.2,8.5,0.27,0.328,GOOG,,125,20.8,16.0,,False
9,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,99.0,248.13,279.82,20.5,16.7,16.6,-2.0,ok,0.0,ok,0.08,,False,51.8,28.2,2.7,24.1,38.0,43.9,43.0,-4.2,-21.9,0.503,0.793,ETN,,125,16.7,20.0,,True
10,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.6,176.89,211.23,17.5,18.3,18.0,-2.0,ok,0.0,ok,-2.67,,False,51.8,26.1,2.9,8.9,30.1,28.3,30.3,-12.2,-12.1,0.614,0.754,ETN,,125,18.3,18.0,,False
11,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,322.3,76.01,75.64,23.0,18.8,10.0,0.0,ok,0.0,ok,0.51,,False,51.8,20.3,7.9,13.4,49.1,49.5,37.9,-12.0,-34.9,-0.034,0.35,ETN,,125,18.8,14.0,,False
12,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,266.4,198.12,208.26,15.5,15.4,21.0,0.0,ok,-0.5,ok,1.92,,False,51.4,25.2,3.7,14.5,20.3,12.3,20.1,2.5,-17.9,-0.008,0.134,AVGO,,125,15.4,21.0,,False
13,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,12.4,96.37,94.01,22.0,19.6,10.0,0.0,ok,-0.5,ok,1.91,,False,51.1,8.9,9.7,6.6,63.8,442.9,47.1,0.7,3.9,-0.184,0.493,ETN,,125,19.6,17.0,,False
14,ADSK,"Autodesk, Inc.",Technology,Software - Application,Core,44.4,211.61,231.56,23.0,18.1,10.0,0.0,ok,0.0,ok,-0.2,,False,51.1,14.9,7.1,16.1,92.5,53.9,29.2,-13.9,-30.8,-0.05,0.423,ETN,,125,18.1,17.0,,False
15,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,Core,33.7,276.88,295.53,23.0,18.0,10.0,0.0,ok,0.0,ok,-0.5,,False,51.0,11.5,10.2,14.0,90.4,89.5,30.2,6.9,6.2,0.026,0.229,GOOG,,125,18.0,15.0,,False
16,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Speculative,9.2,262.93,275.49,21.0,20.0,10.0,0.0,ok,0.0,financial_na,,,False,51.0,13.2,6.7,6.4,51.4,27.0,31.3,5.5,13.7,-0.142,0.436,ETN,,125,20.0,15.0,,False
17,ADBE,Adobe Inc.,Technology,Software - Application,Core,100.3,248.83,251.78,23.0,17.9,10.0,0.0,ok,0.0,ok,0.15,,False,50.9,9.1,9.2,12.7,89.4,63.0,35.7,-6.8,-23.2,-0.039,0.439,ETN,,125,17.9,17.0,,False
18,PATH,"UiPath, Inc.",Technology,Software - Infrastructure,Speculative,7.2,13.87,14.08,22.0,18.7,10.0,0.0,ok,0.0,ok,-6.52,,False,50.7,14.9,6.6,13.4,82.6,20.0,38.6,7.5,6.5,0.127,0.439,MSFT,,125,18.7,17.0,,False
19,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,59.7,226.46,247.02,21.0,20.1,10.0,0.0,ok,-0.5,ok,1.53,,False,50.6,13.1,6.0,19.5,56.1,27.9,54.6,-7.1,3.6,0.338,0.437,ETN,,125,20.1,14.0,,False
20,AXP,American Express Company,Financial Services,Credit Services,Core,219.3,320.71,340.42,21.5,18.6,10.0,0.0,ok,0.0,financial_na,,,False,50.1,16.1,,12.8,62.3,34.4,35.0,-4.6,-8.9,0.323,0.379,GOOG,,125,18.6,18.0,,False
21,INCY,Incyte Corporation,Healthcare,Biotechnology,Growth,24.6,123.28,121.45,23.0,17.0,10.0,0.0,ok,0.0,ok,-2.32,,False,50.0,13.7,4.8,37.7,55.7,30.7,41.6,17.3,18.5,-0.15,0.201,AVGO,,125,17.0,16.0,,False
22,ARES,Ares Management Corporation,Financial Services,Asset Management,Core,43.7,130.63,132.55,17.5,22.4,10.0,0.0,ok,0.0,financial_na,,,False,49.9,18.3,4.9,5.8,37.4,14.9,31.8,-1.2,21.8,0.366,0.379,GOOG,,125,22.4,14.0,,False
23,PYPL,"PayPal Holdings, Inc.",Financial Services,Credit Services,Core,46.0,53.31,55.56,20.0,19.8,10.0,0.0,ok,0.0,financial_na,,,False,49.8,9.3,9.6,4.8,40.5,24.5,29.1,4.8,4.7,0.149,0.295,MSFT,,125,19.8,17.0,,False
24,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,Core,22.7,107.55,114.2,20.5,19.3,10.0,0.0,ok,0.0,financial_na,,,False,49.8,10.3,8.9,10.7,51.6,19.4,29.4,4.3,8.7,0.196,0.252,GOOG,,125,19.3,15.0,,False
