rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2106.3,406.11,425.15,24.0,18.0,21.0,-2.0,ok,0.0,de_fallback,,15.2,False,61.0,18.8,,36.0,64.2,40.0,44.5,13.9,10.6,0.576,0.658,NVDA,,126,18.0,21.0,fcf_yield_out_of_range(35.1),False
2,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Compounder,101.3,263.05,304.67,20.5,20.2,20.0,0.0,ok,-0.5,de_fallback,,70.2,False,60.2,29.0,2.7,24.1,38.0,43.9,37.2,6.6,29.6,0.346,0.488,AVGO,,126,20.2,20.0,,False
3,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,268.1,1006.76,1024.29,19.0,17.8,23.0,0.0,ok,0.0,de_fallback,,28.4,False,59.8,40.5,5.9,21.9,20.6,82.6,43.4,20.2,24.6,0.403,0.481,AVGO,,126,17.8,23.0,,False
4,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1866.1,392.23,394.54,20.0,17.8,22.0,0.0,ok,-0.5,de_fallback,,74.0,False,59.3,20.1,1.5,47.9,76.3,37.3,51.5,7.4,10.0,0.429,0.53,NVDA,,126,17.8,22.0,,True
5,ANET,"Arista Networks, Inc.",Technology,Computer Hardware,Growth,232.8,184.89,175.65,19.0,15.6,20.0,0.0,ok,,unavailable,,,False,54.6,41.4,1.9,35.1,63.5,31.5,51.7,26.6,24.7,0.496,0.597,AVGO,,126,15.6,20.0,,False
6,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5005.0,206.64,205.79,20.0,16.4,20.0,-2.0,ok,0.0,de_fallback,,6.6,False,54.4,16.0,0.9,85.2,74.1,114.3,45.7,7.0,2.5,0.584,0.53,AVGO,,126,16.4,20.0,,True
7,META,"Meta Platforms, Inc.",Communication Services,Internet Content & Information,Core,1503.6,590.24,601.71,18.0,18.3,17.0,0.0,ok,0.0,de_fallback,,43.0,False,53.3,16.9,1.4,28.0,81.7,29.8,33.4,-6.8,-25.2,0.405,0.402,GOOG,,126,18.3,15.0,,False
8,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,77.9,548.47,535.18,16.0,16.0,21.0,0.0,ok,-0.5,de_fallback,,95.3,False,52.5,18.1,3.2,5.1,20.1,27.0,60.8,-9.0,-28.3,-0.05,0.224,AVGO,,126,16.0,21.0,,False
9,TLN,Talen Energy Corporation,Utilities,Utilities - Independent Power ,Growth,16.5,344.49,376.11,19.0,19.4,19.0,0.0,ok,-5.0,de_fallback,,635.4,False,52.4,12.1,8.4,96.7,40.1,-1.9,33.8,-5.9,-7.9,0.387,0.413,AVGO,,126,19.4,19.0,,False
10,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4555.3,372.47,356.41,19.0,13.0,20.0,0.0,ok,0.0,de_fallback,,18.9,False,52.0,25.3,0.5,24.2,60.9,48.7,55.7,14.3,-0.8,0.314,0.279,BMNR,,126,13.0,20.0,,True
