rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
521,OKLO,Oklo Inc.,Utilities,Utilities - Independent Power ,Speculative,7.4,39.88,43.49,8.0,15.4,10.0,-2.0,ok,0.0,neg_ebitda_low_debt,,,False,31.4,,-3.2,,,-7.7,46.3,-37.7,-46.8,0.61,0.565,TSM,,126,15.4,19.0,,False
522,PCG,Pacific Gas & Electric Co.,Utilities,Utilities - Regulated Electric,Core,30.9,14.03,16.92,10.5,15.8,10.0,0.0,ok,-5.0,ok,6.1,,False,31.3,7.8,-19.9,0.1,39.8,9.3,30.4,-16.1,-35.9,-0.001,0.153,CEG,,126,15.8,18.0,,False
523,WY,Weyerhaeuser Company,Real Estate,REIT - Specialty,Core,15.8,21.99,24.0,8.0,18.1,10.0,0.0,ok,-5.0,ok,7.15,,False,31.1,32.7,0.1,-0.9,14.5,5.0,1.8,-9.1,-18.3,0.027,0.236,CEG,,126,18.1,15.0,,False
524,AXON,"Axon Enterprise, Inc.",Industrials,Aerospace & Defense,Growth,38.9,478.85,565.59,14.0,12.0,10.0,0.0,ok,-5.0,ok,7.01,,True,31.0,45.3,0.6,35.3,59.5,6.2,24.3,-5.2,-17.9,0.236,0.341,MSFT,,126,17.5,15.0,,False
525,QBTS,D-Wave Quantum Inc.,Technology,Computer Hardware,Speculative,6.2,16.66,18.93,7.0,15.9,10.0,-2.0,ok,0.0,neg_ebitda_low_debt,,,False,30.9,,-1.2,-0.6,,-28.0,40.0,-22.3,-20.3,0.546,0.445,TSM,,126,15.9,15.0,,False
526,AWK,"American Water Works Company, ",Utilities,Utilities - Regulated Water,Core,27.8,139.84,135.58,13.0,11.3,10.0,0.0,ok,-3.5,ok,5.44,,False,30.8,21.3,-6.4,6.2,61.5,10.1,57.9,6.8,-11.9,-0.462,0.431,TSM,,126,11.3,20.0,,False
527,DE,Deere & Company,Industrials,Farm & Heavy Construction Mach,Core,182.8,677.94,644.04,12.5,11.7,10.0,0.0,ok,-3.5,ok,4.61,,False,30.7,29.9,2.5,-11.1,25.2,18.2,67.9,18.9,2.3,0.138,0.356,ETN,,126,11.7,14.0,,False
528,AES,The AES Corporation,Utilities,Utilities - Diversified,Core,10.6,14.8,14.75,10.0,15.0,10.0,0.0,ok,-5.0,ok,7.64,,False,30.0,6.2,-29.3,19.9,20.3,9.6,56.0,2.2,-8.4,0.167,0.249,AVGO,,126,15.0,18.0,,False
529,APLD,Applied Digital Corporation,Technology,Information Technology Service,Growth,7.3,25.78,28.61,9.5,15.2,10.0,-2.0,ok,-4.0,neg_ebitda_debt,,,False,28.7,,,406.6,25.9,-8.4,41.1,-20.1,-20.0,0.643,0.606,TSM,,126,15.2,15.0,fcf_yield_out_of_range(-67.7),False
530,CIFR,Cipher Digital Inc.,Technology,Information Technology Service,Speculative,6.6,15.94,18.97,5.5,19.8,10.0,-2.0,ok,-5.0,ok,49.49,,False,28.3,73.6,-43.8,-43.0,,-167.5,45.2,-13.4,2.5,0.578,0.558,TSM,,126,19.8,15.0,,False
531,F,Ford Motor Company,Consumer Cyclical,Auto Manufacturers,Core,55.3,13.88,14.1,4.5,18.7,10.0,0.0,ok,-5.0,ok,18.47,,False,28.2,7.2,-14.3,-3.8,7.1,-18.3,48.5,3.7,3.0,0.249,0.248,NVDA,,126,18.7,11.0,,False
532,MOS,Mosaic Company (The),Basic Materials,Agricultural Inputs,Cyclical,8.1,25.4,24.13,5.5,14.7,10.0,0.0,ok,-2.5,ok,3.37,,False,27.7,16.3,-9.2,-6.0,11.2,-5.1,64.5,3.9,-32.8,0.192,0.29,CEG,,126,14.7,11.0,,False
533,BG,Bunge Limited,Consumer Defensive,Farm Products,Growth,23.9,124.59,118.36,9.5,10.9,10.0,0.0,ok,-3.5,ok,5.21,,False,26.9,11.0,-27.1,88.3,4.9,7.2,62.0,8.8,-14.8,-0.046,0.137,GOOG,,126,10.9,16.0,,False
