rank,ticker,name,sector,industry,category,mcap_B,current_price,entry_level,fundamental,technical,visibility,corr_penalty,corr_status,leverage_penalty,lev_status,nd_ebitda,dte_pct,broken_base,composite,fwd_pe,fcf_yield_pct,rev_growth_pct,gross_margin_pct,roe_pct,rsi,ma200_dist_pct,rel_str_6m_pct,portfolio_corr,max_corr,max_corr_with,corr_null_reason,n_corr_obs,technical_precap,visibility_legacy,data_flags,in_portfolio
1,AVGO,Broadcom Inc.,Technology,Semiconductors,Growth,1733.6,364.38,383.57,20.0,17.7,22.0,-2.0,ok,0.0,ok,0.68,,False,57.7,18.8,1.8,85.5,75.5,44.2,51.4,-1.4,-5.8,0.55,0.577,TSM,,126,17.7,22.0,,True
2,GEV,GE Vernova Inc.,Industrials,Specialty Industrial Machinery,Compounder,253.3,951.04,1010.89,20.0,16.7,23.0,-2.0,ok,0.0,ok,-2.29,,False,57.7,37.6,6.2,21.9,20.6,82.6,42.3,6.9,-0.4,0.59,0.685,ETN,,126,16.7,23.0,,False
3,LMT,Lockheed Martin Corporation,Industrials,Aerospace & Defense,Compounder,121.0,524.46,555.95,18.0,17.2,22.0,0.0,ok,-0.5,ok,1.73,,False,56.7,16.0,4.6,10.5,11.8,89.2,20.4,-5.7,-31.9,-0.071,0.181,TSM,,126,17.2,22.0,,False
4,GOOG,Alphabet Inc.,Communication Services,Internet Content & Information,Compounder,4016.1,328.38,346.09,19.0,17.7,20.0,0.0,ok,0.0,ok,-0.7,,False,56.7,22.1,0.6,24.2,60.9,48.7,36.9,-2.0,-6.2,0.335,0.294,TSM,,126,17.7,20.0,,True
5,TSM,Taiwan Semiconductor Manufactu,Technology,Semiconductors,Growth,2258.0,435.36,420.15,24.0,13.5,21.0,-4.0,ok,0.0,ok,-0.77,,False,54.5,19.9,,36.0,64.2,40.0,65.6,16.6,10.7,0.709,0.648,ETN,,126,13.5,21.0,fcf_yield_out_of_range(32.4),True
6,NOC,Northrop Grumman Corporation,Industrials,Aerospace & Defense,Compounder,73.2,515.57,544.52,16.0,18.6,21.0,0.0,ok,-1.5,ok,2.03,,False,54.1,16.9,3.4,5.1,20.1,27.0,16.0,-14.3,-42.4,-0.071,0.244,TSM,,126,18.6,21.0,,False
7,NVDA,NVIDIA Corporation,Technology,Semiconductors,Growth,5401.0,223.67,212.49,20.0,16.0,19.9,-2.0,ok,0.0,ok,-0.12,,False,53.9,14.4,0.8,105.9,74.7,117.2,54.2,13.5,7.5,0.596,0.644,TSM,,126,16.0,20.0,,True
8,BX,Blackstone Inc.,Financial Services,Asset Management,Core,154.3,129.07,133.25,22.5,20.6,10.0,0.0,ok,0.0,financial_na,,,False,53.1,17.2,,28.6,100.0,31.4,18.2,-0.4,8.8,0.277,0.336,GOOG,,126,20.6,16.0,,False
9,POWL,"Powell Industries, Inc.",Industrials,Electrical Equipment & Parts,Speculative,6.6,180.26,213.42,17.5,18.9,18.0,-2.0,ok,0.0,ok,-2.67,,False,52.4,25.8,2.9,8.9,30.1,28.3,31.9,-10.4,-7.7,0.611,0.753,ETN,,126,18.9,18.0,,False
10,NFLX,"Netflix, Inc.",Communication Services,Entertainment,Core,316.6,76.03,75.54,23.0,18.8,10.0,0.0,ok,0.0,ok,0.51,,False,51.8,19.9,8.0,13.4,49.1,49.5,37.7,-12.1,-32.6,-0.031,0.342,ETN,,126,18.8,14.0,,False
11,FDS,FactSet Research Systems Inc.,Financial Services,Financial Data & Stock Exchang,Speculative,9.9,279.17,274.83,21.0,20.5,10.0,0.0,ok,0.0,financial_na,,,False,51.5,14.2,6.3,6.4,51.4,27.0,38.9,11.9,23.1,-0.149,0.441,ETN,,126,20.5,15.0,,False
12,RTX,RTX Corporation,Industrials,Aerospace & Defense,Compounder,266.2,197.55,208.09,15.5,15.4,21.0,0.0,ok,-0.5,ok,1.92,,False,51.4,25.1,3.7,14.5,20.3,12.3,13.5,2.3,-17.4,0.003,0.127,AVGO,,126,15.4,21.0,,False
13,GDDY,GoDaddy Inc.,Technology,Software - Infrastructure,Core,11.9,93.6,93.78,22.0,19.6,10.0,0.0,ok,-0.5,ok,1.91,,False,51.1,8.5,10.2,6.6,63.8,442.9,44.7,-2.4,-4.5,-0.157,0.46,ETN,,126,19.6,17.0,,False
14,NXPI,NXP Semiconductors N.V.,Technology,Semiconductors,Core,56.3,223.32,248.11,22.0,19.6,10.0,0.0,ok,-0.5,ok,1.53,,False,51.1,12.3,6.3,19.5,56.1,27.9,46.4,-8.3,-0.4,0.348,0.444,ETN,,126,19.6,14.0,,False
15,VRT,"Vertiv Holdings, LLC",Industrials,Electrical Equipment & Parts,Core,101.2,262.89,281.55,20.5,15.6,16.8,-2.0,ok,0.0,ok,0.08,,False,50.9,28.8,2.7,24.1,38.0,43.9,50.9,1.7,-14.7,0.501,0.793,ETN,,126,15.6,20.0,,True
16,EXPE,"Expedia Group, Inc.",Consumer Cyclical,Travel Services,Core,32.7,272.6,295.11,23.0,17.5,10.0,0.0,ok,0.0,ok,-0.5,,False,50.5,11.2,10.5,14.0,90.4,89.5,27.1,5.3,5.6,0.033,0.23,GOOG,,126,17.5,15.0,,False
17,ADBE,Adobe Inc.,Technology,Software - Application,Core,101.3,254.86,250.91,23.0,17.2,10.0,0.0,ok,0.0,ok,0.15,,False,50.2,9.3,9.1,12.7,89.4,63.0,38.5,-4.6,-19.6,-0.039,0.439,ETN,,126,17.2,17.0,,False
18,APO,"Apollo Global Management, Inc.",Financial Services,Asset Management,Growth,77.3,130.98,127.58,20.0,20.1,10.0,0.0,ok,0.0,financial_na,,,False,50.1,12.2,,63.8,36.1,11.4,44.0,2.6,10.7,0.315,0.331,GOOG,,126,20.1,14.0,,False
19,MSFT,Microsoft Corporation,Technology,Software - Infrastructure,Core,3650.8,491.65,467.07,18.0,16.6,15.4,0.0,ok,0.0,ok,0.27,,False,50.0,20.9,0.5,17.7,67.9,34.0,54.4,14.1,8.7,0.153,0.222,NVDA,,126,16.6,18.0,,True
20,TROW,"T. Rowe Price Group, Inc.",Financial Services,Asset Management,Core,23.0,107.74,114.33,20.5,19.4,10.0,0.0,ok,0.0,financial_na,,,False,49.9,10.4,8.8,10.7,51.6,19.4,29.8,4.5,9.7,0.203,0.258,GOOG,,126,19.4,15.0,,False
21,INCY,Incyte Corporation,Healthcare,Biotechnology,Growth,25.5,126.01,121.25,23.0,16.9,10.0,0.0,ok,0.0,ok,-2.32,,False,49.9,14.2,4.6,37.7,55.7,30.7,44.4,20.1,20.4,-0.142,0.195,AVGO,,126,16.9,16.0,,False
22,ALL,Allstate Corporation (The),Financial Services,Insurance - Property & Casualt,Core,64.1,253.58,257.23,22.0,17.8,10.0,0.0,ok,0.0,financial_na,,,False,49.8,9.2,23.6,11.8,36.8,46.1,43.0,14.3,10.6,-0.369,0.44,TSM,,126,17.8,14.0,,False
23,AXP,American Express Company,Financial Services,Credit Services,Core,217.3,321.8,340.77,21.5,18.3,10.0,0.0,ok,0.0,financial_na,,,False,49.8,16.0,,12.8,62.3,34.4,28.7,-4.3,-7.2,0.327,0.384,GOOG,,126,18.3,18.0,,False
24,CDNS,"Cadence Design Systems, Inc.",Technology,Software - Application,Core,78.4,284.6,338.02,20.5,19.0,10.0,0.0,ok,0.0,ok,0.52,,False,49.5,29.8,2.1,24.2,85.9,23.2,35.6,-12.9,-16.0,0.463,0.406,NVDA,,126,19.0,17.0,,False
